lat,lon,region,rooms,area,building_type
54.947786,82.970996,9654,1,33.0,1
54.99097,82.91194,9654,3,56.0,3
54.941999,82.96301,9654,1,48.02,1
55.030681,83.0150316,9654,1,43.39,1
55.0303931,83.0155452,9654,2,63.85,1
55.012935,83.0045233,9654,1,39.35,1
55.013916,83.00329,9654,1,41.36,1
55.055269,82.94013,9654,3,62.0,1
55.013844,82.888664,9654,3,62.8,3
55.017756,83.003578,9654,2,59.0,1
55.04924,82.89022,9654,2,51.0,1
55.055676,82.9696,9654,2,44.0,1
55.017756,83.003578,9654,2,58.75,1
54.946224,82.968031,9654,1,33.58,1
55.017212,83.00393,9654,1,48.9,1
54.950898,82.964348,9654,2,56.14,1
54.944735,82.959884,9654,1,33.58,1
